Employee #,First Name,Preferred Name,Last Name,First Name Last Name,Job Title,Department,Division,Reporting to,Hire Date,Work Email,Birth Date,Gender,Employment Status,City,State,Zip Code,Compensation: Date,Pay rate,Time Type,Exempt,Pay Schedule,Termination Date,Radford Level,Bonus Type,Bonus Amount,EEID
EMP00001,Alistair,,Ironwood,Alistair Ironwood,CEO,Corporate Strategy,Operations,,2015-03-01,alistair.ironwood@theguild.com,1975-06-15,Male,Active,Salt Lake City,UT,84101,2026-01-01,1500000,Salary,Exempt,Monthly,,E6,Annual Bonus,3000000,EEID00001
EMP00002,Meredith,,Kingsley,Meredith Kingsley,CFO,Finance,G&A,EMP00001,2019-04-04,meredith.kingsley@theguild.com,1975-12-15,Male,Active,Salt Lake City,TX,84101,2026-01-01,346810,Salary,Exempt,Monthly,,E1,Annual Bonus,173405,EEID00002
EMP00003,Dorian,,Blackthorn,Dorian Blackthorn,CTO,Architecture,Engineering & Technology,EMP00001,2018-06-12,dorian.blackthorn@theguild.com,1983-08-07,Male,Active,Austin,CA,84101,2026-01-01,564457,Salary,Exempt,Monthly,,E2,Annual Bonus,282228,EEID00003
EMP00004,Seraphina,,Ravenscroft,Seraphina Ravenscroft,CMO,Corporate Communications,Marketing,EMP00001,2019-12-22,seraphina.ravenscroft@theguild.com,1979-10-13,Male,Active,San Francisco,NY,84101,2026-01-01,523271,Salary,Exempt,Monthly,,E3,Annual Bonus,313962,EEID00004
EMP00005,Thorne,,Ashford,Thorne Ashford,CRO,Revenue Operations,Sales & Revenue,EMP00001,2019-09-22,thorne.ashford@theguild.com,1977-05-28,Female,Active,Salt Lake City,NY,84101,2026-01-01,673372,Salary,Exempt,Monthly,,E4,Annual Bonus,336686,EEID00005
EMP00006,Gideon,,Stonewall,Gideon Stonewall,COO,Corporate Strategy,Operations,EMP00001,2017-10-30,gideon.stonewall@theguild.com,1979-01-10,Female,Active,San Francisco,CA,84101,2026-01-01,1656462,Salary,Exempt,Monthly,,E5,Annual Bonus,993877,EEID00006
EMP00007,Eleanor,,Whitmore,Eleanor Whitmore,General Counsel,Legal,G&A,EMP00001,2018-02-15,eleanor.whitmore@theguild.com,1985-03-11,Female,Active,New York,TX,84101,2026-01-01,4288916,Salary,Exempt,Monthly,,E6,Annual Bonus,1286674,EEID00007
EMP00008,Will,,Jackson,Will Jackson,Director of Engineering,Software Engineering,Engineering & Technology,EMP00005,2021-05-29,will.jackson@theguild.com,1985-03-24,Female,Active,Denver,CO,84101,2026-01-01,202549,Salary,Exempt,Monthly,,M3,Annual Bonus,40509,EEID00008
EMP00009,Lauren,,Carter,Lauren Carter,Director of Design,Product Management,Product,EMP00003,2019-11-22,lauren.carter@theguild.com,1985-07-08,Male,Active,San Francisco,TX,84101,2026-01-01,186114,Salary,Exempt,Monthly,,M3,Annual Bonus,18611,EEID00009
EMP00010,Taylor,,Williams,Taylor Williams,Director of Sales,Enterprise Sales,Sales & Revenue,EMP00005,2020-06-05,taylor.williams@theguild.com,1979-08-20,Female,Active,Denver,WA,84101,2026-01-01,207092,Salary,Exempt,Monthly,,M3,Annual Bonus,41418,EEID00010
EMP00011,Nora,,Thomas,Nora Thomas,Director of Marketing,Demand Generation,Marketing,EMP00001,2021-03-18,nora.thomas@theguild.com,1980-05-23,Female,Active,San Francisco,CA,84101,2026-01-01,194342,Salary,Exempt,Monthly,,M3,Commission,9717,EEID00011
EMP00012,Kayla,,Rogers,Kayla Rogers,Director of Customer Success,Customer Success Management,Customer Success,EMP00005,2017-10-01,kayla.rogers@theguild.com,1988-06-03,Female,Active,Denver,WA,84101,2026-01-01,190906,Salary,Exempt,Monthly,,M3,Commission,38181,EEID00012
EMP00013,Leo,,Lewis,Leo Lewis,Director of Finance,Finance,G&A,EMP00002,2021-09-17,leo.lewis@theguild.com,1984-03-21,Female,Active,San Francisco,TX,84101,2026-01-01,208972,Salary,Exempt,Monthly,,M3,Commission,10448,EEID00013
EMP00014,Ben,,Thomas,Ben Thomas,Director of Analytics,Business Operations,Operations,EMP00003,2018-10-17,ben.thomas@theguild.com,1990-02-11,Male,Active,San Francisco,CA,84101,2026-01-01,210614,Salary,Exempt,Monthly,,M3,Annual Bonus,42122,EEID00014
EMP00015,Stephanie,,Turner,Stephanie Turner,Senior Product Manager,Product Management,Product,EMP00009,2021-12-11,stephanie.turner@theguild.com,1988-05-24,,Active,Dallas,TX,75201,2026-01-01,109080,Salary,Exempt,Twice a Month,,P3,Commission,10908,EEID00015
EMP00016,Reid,,Campbell,Reid Campbell,Senior HR Business Partner,Talent Acquisition,G&A,EMP00011,2023-12-28,reid.campbell@theguild.com,1976-03-17,,Active,Dallas,TX,75201,2026-01-01,106902,Salary,Exempt,Twice a Month,,P3,Annual Bonus,16035,EEID00016
EMP00017,Michael,,Nelson,Michael Nelson,Marketing Specialist,Content Marketing,Marketing,EMP00010,2018-12-02,michael.nelson@theguild.com,1996-02-05,Male,Active,Los Angeles,CA,90001,2026-01-01,104844,Salary,Non-Exempt,Bi-Weekly,,P2,Commission,20968,EEID00017
EMP00018,Dylan,,Anderson,Dylan Anderson,Finance Associate,Legal,G&A,EMP00014,2019-04-14,dylan.anderson@theguild.com,2000-04-19,Female,Active,New York,NY,10001,2026-01-01,61532,Salary,Exempt,Twice a Month,,P1,No Bonus,0,EEID00018
EMP00019,Jake,,Evans,Jake Evans,Sales Development Representative,SMB Sales,Sales & Revenue,EMP00012,2025-09-29,jake.evans@theguild.com,1985-11-22,Male,Active,Salt Lake City,UT,84101,2026-01-01,58542,Hourly,Non-Exempt,Bi-Weekly,,P1,Annual Bonus,8781,EEID00019
EMP00020,Rowan,,Collins,Rowan Collins,Staff Software Engineer,Software Engineering,Engineering & Technology,EMP00013,2025-02-16,rowan.collins@theguild.com,1995-08-16,Female,Active,Phoenix,AZ,85001,2026-01-01,168158,Hourly,Exempt,Monthly,,P4,Commission,33631,EEID00020
EMP00021,Andrew,,Phillips,Andrew Phillips,CS Team Lead,Renewals,Customer Success,EMP00012,2023-03-19,andrew.phillips@theguild.com,2000-07-24,,Active,Chicago,IL,60601,2026-01-01,182908,Salary,Exempt,Bi-Weekly,,P4,Commission,18290,EEID00021
EMP00022,Taylor,,Young,Taylor Young,Operations Analyst,Data Analytics & Insights,Operations,EMP00010,2023-06-25,taylor.young@theguild.com,1999-11-27,Female,Terminated,Portland,OR,97201,2026-01-01,102304,Salary,Exempt,Monthly,2026-12-07,P2,Annual Bonus,10230,EEID00022
EMP00023,Cole,,Lewis,Cole Lewis,Operations Manager,Business Operations,Operations,EMP00014,2024-03-04,cole.lewis@theguild.com,1989-11-02,Non-Binary,Active,Raleigh,NC,27601,2026-01-01,140067,Salary,Exempt,Twice a Month,,M1,No Bonus,0,EEID00023
EMP00024,Sam,,Martin,Sam Martin,Sales Manager,Sales Development,Sales & Revenue,EMP00010,2021-04-28,sam.martin@theguild.com,1985-03-16,Non-Binary,Active,Raleigh,NC,27601,2026-01-01,168685,Salary,Exempt,Bi-Weekly,,M1,Annual Bonus,8434,EEID00024
EMP00025,Will,,Smith,Will Smith,HR Coordinator,People & HR,G&A,EMP00023,2020-01-26,will.smith@theguild.com,1977-04-21,Non-Binary,Active,San Francisco,CA,94101,2026-01-01,59137,Salary,Non-Exempt,Twice a Month,,P1,Commission,11827,EEID00025
EMP00026,Daniel,,Stewart,Daniel Stewart,Junior Software Engineer,Platform Engineering,Engineering & Technology,EMP00012,2023-01-20,daniel.stewart@theguild.com,1994-11-10,Non-Binary,Active,Chicago,IL,60601,2026-01-01,81579,Salary,Non-Exempt,Bi-Weekly,,P1,Commission,16315,EEID00026
EMP00027,Aria,,Torres,Aria Torres,Customer Success Associate,Customer Success Management,Customer Success,EMP00009,2025-09-24,aria.torres@theguild.com,1996-01-30,Non-Binary,Active,Boston,MA,02101,2026-01-01,63671,Salary,Exempt,Monthly,,P1,Commission,12734,EEID00027
EMP00028,Samantha,,Jackson,Samantha Jackson,Finance Manager,Facilities & Admin,G&A,EMP00012,2020-07-09,samantha.jackson@theguild.com,1981-09-07,Non-Binary,Active,Provo,UT,84601,2026-01-01,150297,Salary,Exempt,Twice a Month,,P4,Annual Bonus,22544,EEID00028
EMP00029,Sarah,,Brown,Sarah Brown,Senior Product Manager,UX Research,Product,EMP00012,2018-06-13,sarah.brown@theguild.com,1994-05-19,Non-Binary,Active,Portland,OR,97201,2026-01-01,135716,Hourly,Exempt,Twice a Month,,P3,Annual Bonus,20357,EEID00029
EMP00030,Taylor,,Garcia,Taylor Garcia,Senior Product Manager,Product Management,Product,EMP00024,2023-07-08,taylor.garcia@theguild.com,1979-02-03,,Active,Portland,OR,97201,2026-01-01,135834,Salary,Exempt,Twice a Month,,P3,No Bonus,0,EEID00030
EMP00031,Owen,,Perez,Owen Perez,Senior Account Executive,Mid-Market Sales,Sales & Revenue,EMP00014,2020-10-30,owen.perez@theguild.com,1989-07-02,Male,Active,Lehi,UT,84043,2026-01-01,123888,Salary,Exempt,Twice a Month,,P3,Annual Bonus,9911,EEID00031
EMP00032,Aria,,Stewart,Aria Stewart,Junior Software Engineer,Architecture,Engineering & Technology,EMP00023,2025-10-31,aria.stewart@theguild.com,1996-09-28,Male,Active,San Jose,CA,95101,2026-01-01,66854,Salary,Non-Exempt,Bi-Weekly,,P1,Annual Bonus,6685,EEID00032
EMP00033,Drew,,Collins,Drew Collins,Associate Product Manager,Product Design,Product,EMP00009,2021-01-24,drew.collins@theguild.com,1993-08-21,,Active,Seattle,WA,98101,2026-01-01,62362,Salary,Non-Exempt,Bi-Weekly,,P1,Commission,18708,EEID00033
EMP00034,Kayla,,Robinson,Kayla Robinson,Customer Success Manager,Customer Support,Customer Success,EMP00013,2025-05-27,kayla.robinson@theguild.com,1996-12-18,Female,Terminated,Portland,OR,97201,2026-01-01,107193,Salary,Non-Exempt,Bi-Weekly,2025-11-05,P2,Commission,32157,EEID00034
EMP00035,Reid,,Walker,Reid Walker,Enterprise Account Executive,Revenue Operations,Sales & Revenue,EMP00011,2025-11-28,reid.walker@theguild.com,1992-02-07,,Active,Chicago,IL,60601,2026-01-01,147363,Hourly,Exempt,Monthly,,P4,Annual Bonus,14736,EEID00035
EMP00036,Violet,,Williams,Violet Williams,Staff Product Manager,UX Research,Product,EMP00010,2024-12-27,violet.williams@theguild.com,1992-10-30,Male,Active,New York,NY,10001,2026-01-01,136005,Salary,Exempt,Twice a Month,,P4,Annual Bonus,10880,EEID00036
EMP00037,Reid,,Harris,Reid Harris,Sales Development Representative,Account Management,Sales & Revenue,EMP00012,2025-10-13,reid.harris@theguild.com,1988-06-07,Male,Part Time,Austin,TX,73301,2026-01-01,75681,Hourly,Exempt,Monthly,,P1,Commission,7568,EEID00037
EMP00038,Ella,,Edwards,Ella Edwards,Staff Software Engineer,Data Engineering,Engineering & Technology,EMP00014,2022-04-16,ella.edwards@theguild.com,1985-10-20,,Active,Boston,MA,02101,2026-01-01,169810,Salary,Exempt,Bi-Weekly,,P4,Annual Bonus,25471,EEID00038
EMP00039,Samantha,,Robinson,Samantha Robinson,HR Coordinator,Facilities & Admin,G&A,EMP00024,2020-10-21,samantha.robinson@theguild.com,1995-06-29,Non-Binary,Active,Minneapolis,MN,55401,2026-01-01,77203,Salary,Non-Exempt,Twice a Month,,P1,No Bonus,0,EEID00039
EMP00040,Zoe,,Nguyen,Zoe Nguyen,Senior Marketing Manager,Brand Marketing,Marketing,EMP00014,2024-10-22,zoe.nguyen@theguild.com,1990-10-21,Female,Active,Provo,UT,84601,2026-01-01,106437,Salary,Exempt,Twice a Month,,P3,Annual Bonus,5321,EEID00040
EMP00041,Emerson,,Taylor,Emerson Taylor,HR Coordinator,People & HR,G&A,EMP00013,2019-06-26,emerson.taylor@theguild.com,1999-03-13,Non-Binary,Active,Austin,TX,73301,2026-01-01,56093,Salary,Non-Exempt,Twice a Month,,P1,Annual Bonus,2804,EEID00041
EMP00042,Lauren,,Taylor,Lauren Taylor,Senior Operations Analyst,FP&A,Operations,EMP00009,2018-02-27,lauren.taylor@theguild.com,1986-11-11,Male,Active,Chicago,IL,60601,2026-01-01,135692,Hourly,Exempt,Bi-Weekly,,P3,Annual Bonus,13569,EEID00042
EMP00043,Chloe,,Mitchell,Chloe Mitchell,Senior Financial Analyst,Facilities & Admin,G&A,EMP00023,2018-09-16,chloe.mitchell@theguild.com,1995-10-29,Non-Binary,Active,Lehi,UT,84043,2026-01-01,120323,Salary,Exempt,Bi-Weekly,,P3,No Bonus,0,EEID00043
EMP00044,Daniel,,Rodriguez,Daniel Rodriguez,Staff Software Engineer,Software Engineering,Engineering & Technology,EMP00024,2019-09-25,daniel.rodriguez@theguild.com,1993-08-11,Male,Active,Minneapolis,MN,55401,2026-01-01,150387,Salary,Exempt,Twice a Month,,P4,Commission,45116,EEID00044
