Employee #,Name,Reports to 1,Reports to 2,Reports to 3,Reports to 4,Reports to 5,Reports to 6,Reports to 7,Reports to 1 Level,Reports to 2 Level,Reports to 3 Level,Reports to 4 Level,Reports to 5 Level,Reports to 6 Level,Reports to 7 Level,Director,E-1,First Executive,Executive,Skip Level Manager,Employee Status
EMP00002,Meredith Kingsley,EMP00001,,,,,,,Level 1,,,,,,,,,EMP00001,EMP00001,,Active
EMP00003,Dorian Blackthorn,EMP00001,,,,,,,Level 1,,,,,,,,,EMP00001,EMP00001,,Active
EMP00004,Seraphina Ravenscroft,EMP00001,,,,,,,Level 1,,,,,,,,,EMP00001,EMP00001,,Active
EMP00005,Thorne Ashford,EMP00001,,,,,,,Level 1,,,,,,,,,EMP00001,EMP00001,,Active
EMP00006,Gideon Stonewall,EMP00001,,,,,,,Level 1,,,,,,,,,EMP00001,EMP00001,,Active
EMP00007,Eleanor Whitmore,EMP00001,,,,,,,Level 1,,,,,,,,,EMP00001,EMP00001,,Active
EMP00008,Will Jackson,EMP00005,EMP00001,,,,,,Level 1,Level 2,,,,,,,,EMP00005,EMP00001,,Active
EMP00009,Lauren Carter,EMP00003,EMP00001,,,,,,Level 1,Level 2,,,,,,,,EMP00003,EMP00001,,Active
EMP00010,Taylor Williams,EMP00005,EMP00001,,,,,,Level 1,Level 2,,,,,,,,EMP00005,EMP00001,,Active
EMP00011,Nora Thomas,EMP00001,,,,,,,Level 1,,,,,,,,,EMP00001,EMP00001,,Active
EMP00012,Kayla Rogers,EMP00005,EMP00001,,,,,,Level 1,Level 2,,,,,,,,EMP00005,EMP00001,,Active
EMP00013,Leo Lewis,EMP00002,EMP00001,,,,,,Level 1,Level 2,,,,,,,EMP00002,EMP00002,EMP00001,,Active
EMP00014,Ben Thomas,EMP00003,EMP00001,,,,,,Level 1,Level 2,,,,,,,,EMP00003,EMP00001,,Active
EMP00015,Stephanie Turner,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00016,Reid Campbell,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00017,Michael Nelson,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00018,Dylan Anderson,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00019,Jake Evans,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00020,Rowan Collins,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00021,Andrew Phillips,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00022,Taylor Young,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Terminated
EMP00023,Cole Lewis,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00024,Sam Martin,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00025,Will Smith,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00026,Daniel Stewart,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00027,Aria Torres,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00028,Samantha Jackson,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00029,Sarah Brown,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00030,Taylor Garcia,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00031,Owen Perez,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00032,Aria Stewart,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00033,Drew Collins,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00034,Kayla Robinson,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Terminated
EMP00035,Reid Walker,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00036,Violet Williams,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00037,Reid Harris,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Part Time
EMP00038,Ella Edwards,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00039,Samantha Robinson,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00040,Zoe Nguyen,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00041,Emerson Taylor,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00042,Lauren Taylor,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00043,Chloe Mitchell,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00044,Daniel Rodriguez,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00045,Skyler Clark,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00046,Rowan Johnson,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00047,Daniel Carter,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00048,Aria Hill,EMP00008,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00008,,EMP00005,EMP00001,,Active
EMP00049,Drew Martinez,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00050,Nora Clark,EMP00023,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00051,Ashley Clark,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00052,Bryn Anderson,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00053,Taylor Garcia,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00054,Kai Carter,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00055,Jason Sanchez,EMP00012,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00056,Reid Turner,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00057,Nora Johnson,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00058,Sarah Allen,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00059,Blake Parker,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00060,Casey Brown,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Contractor
EMP00061,Aurora Miller,EMP00056,EMP00009,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00009,,EMP00003,EMP00001,,Active
EMP00062,James Perez,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00063,Aria Scott,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Active
EMP00064,Finn Evans,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Active
EMP00065,Aurora Anderson,EMP00047,EMP00014,EMP00003,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00014,,EMP00003,EMP00001,,Leave of Absence
EMP00066,Jake Brown,EMP00060,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00067,Liam Allen,EMP00013,EMP00002,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00013,EMP00002,EMP00002,EMP00001,,Terminated
EMP00068,Skyler Smith,EMP00011,EMP00001,,,,,,Level 1,Level 2,,,,,,EMP00011,,EMP00001,EMP00001,,Active
EMP00069,Matt Jackson,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Contractor
EMP00070,James Thompson,EMP00024,EMP00010,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00071,Casey Jackson,EMP00014,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00014,,EMP00003,EMP00001,,Part Time
EMP00072,Luke Moore,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00073,Ella Miller,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00074,Sarah Carter,EMP00055,EMP00012,EMP00005,EMP00001,,,,Level 1,Level 2,Level 3,Level 4,,,,EMP00012,,EMP00005,EMP00001,,Active
EMP00075,Drew Martinez,EMP00010,EMP00005,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00010,,EMP00005,EMP00001,,Active
EMP00076,Sage Davis,EMP00009,EMP00003,EMP00001,,,,,Level 1,Level 2,Level 3,,,,,EMP00009,,EMP00003,EMP00001,,Active
